Sol, x 0, y 0
Lynx B (Terminus), x -1153, y 51
Monica, x -2023, y -133
Mesa, x -780, y -591
Hennesy, x 2473, y 501
Terra Haute, x 2537, y 467
Erewhon, x 1543, y 1573
Joshua, x 476, y -377
Sigma Draconis, x 17, y 141
Durandel, x -600, y 2147
Asgard, x -1088, y 1479
Rasmussen, x -938, y 1414
Midgard, x -1663, y 2430
Meyers, x -2160, y -399
Taylor, x -2061, y -184
Zale, x -2254, y -69
Howard, x -1791, y -249
Saltash, x -1290, y -356
Lima, x 583, y 501
Sankar, x 360, y 630
Ajax, x 1316, y 587
Dockhorn, x 1556, y 591
Meroa, x 1363, y 776
Johannsen, x 1196, y 763
Limbo, x 952, y 694
Sherkhan, x 836, y 819
Alt, x 1016, y 939
Theron, x 776, y 994
Okada, x 532, y 934
Basra, x 716, y 1166
Degenhart, x 956, y 1281
Tiberian, x 1055, y 1410
Kay, x 1192, y 1526
Congo, x 1432, y 1633
Sprague, x 1427, y 1410
Poul, x 1380, y 1234
Edwin, x 1509, y 1101
Maya, x 1552, y 1333
Isaac, x 1770, y 1470
Murray, x 1830, y 1187
Robert, x 1715, y 1123
Foshee, x -981, y 703
Portillo, x -1431, y 1346
Chomanand, x -1971, y 1221
Tyrel, x -2340, y 969
Osmani, x -2425, y 1204
Corovic, x -2203, y 1329
Marsh, x -531, y 2541
Willis, x -245, y 2874
Hendrickson, x -227, y 2856
Jarmon, x -244, y 2845
Terrance, x -167, y 2789
Tumult, x -269, y 2777
Sarah, x -359, y 2828
Carlton, x -419, y 2816
Brinkman, x -400, y 2700
Hume, x -455, y 2692
Breslau, x -496, y 2688
Telmach, x -423, y 2652
Libau, x -507, y 2632
Gosset, x -483, y 2660
Lua Hiler, x -451, y 2596
Hillman, x -176, y 2616
Typer’s Star, x -352, y 2629
Zorester, x -396, y 2573
Lutrell, x -251, y 2568
Posnan, x -363, y 2568
Arendscheldt, x -324, y 2577
Sigma, x -299, y 2564
Creswell, x -335, y 2520
Hera, x -268, y 2532
Saginaw, x -231, y 2496
Psyche, x -316, y 2484
Sachsen, x -467, y 2544
Trellis, x -444, y 2516
Sharon’s Star, x -359, y 2549
Magyar, x -391, y 2529
Schiller, x -415, y 2540
Alizon, x 147, y 2095
Yorik, x 119, y 2186
Minorca, x -100, y 2138
Reevesport, x -117, y 2273
Reiko, x 155, y 2268
Hannah’s Star, x 172, y 2397
Gemini, x 191, y 2450
Aphid, x 323, y 2565
Nuada, x 269, y 2422
Yalta, x 304, y 2389
Santander, x 325, y 2330
Suchien, x 255, y 2310
Poicters, x 335, y 2229
Minette, x 376, y 1961
Quentin, x 291, y 1896
Talbot, x 410, y 2217
Chelsea, x 367, y 2154
Mendoza, x 308, y 2180
Seaford 9, x 240, y 2221
Hancock, x 215, y 2193
Zanzibar, x 219, y 2149
Klein Station, x 294, y 2129
Talisman, x 212, y 2087
Endicott, x 264, y 2065
Clairmont, x 416, y 2094
Quest, x 440, y 2054
Candor, x 339, y 1991
Yeltsin, x 263, y 2025
Clearway, x 224, y 1999
Zuckerman, x 260, y 1965
Doreas, x 328, y 1933
Grendelsbane, x 377, y 1885
Cerberus, x 916, y 2837
Hallman, x 1001, y 2456
Tahlman, x 924, y 2372
Samson, x 704, y 2273
Solan, x 869, y 2273
Macgregor, x 800, y 2245
Owens, x 733, y 2232
Mylar, x 736, y 2201
