Sol, x 0, y0
Lynx B (Terminus), x -1153, y51
Monica, x -2023, y-133
Mesa, x -780, y-591
Hennesy, x 2473, y501
Terra Haute, x 2537, y467
Erewhon, x 1543, y1573
Joshua, x 476, y-377
Sigma Draconis, x 17, y141
Durandel, x -600, y2147
Asgard, x -1088, y1479
Rasmussen, x -938, y1414
Midgard, x -1663, y2430
Meyers, x -2160, y-399
Taylor, x -2061, y-184
Zale, x -2254, y-69
Howard, x -1791, y-249
Saltash, x -1290, y-356
Lima, x 583, y501
Sankar, x 360, y630
Ajax, x 1316, y587
Dockhorn, x 1556, y591
Meroa, x 1363, y776
Johannsen, x 1196, y763
Limbo, x 952, y694
Sherkhan, x 836, y819
Alt, x 1016, y939
Theron, x 776, y994
Okada, x 532, y934
Basra, x 716, y1166
Degenhart, x 956, y1281
Tiberian, x 1055, y1410
Kay, x 1192, y1526
Congo, x 1432, y1633
Sprague, x 1427, y1410
Poul, x 1380, y1234
Edwin, x 1509, y1101
Maya, x 1552, y1333
Isaac, x 1770, y1470
Murray, x 1830, y1187
Robert, x 1715, y1123
Foshee, x -981, y703
Portillo, x -1431, y1346
Chomanand, x -1971, y1221
Tyrel, x -2340, y969
Osmani, x -2425, y1204
Corovic, x -2203, y1329
Marsh, x -531, y2541
Willis, x -245, y2874
Hendrickson, x -227, y2856
Jarmon, x -244, y2845
Terrance, x -167, y2789
Tumult, x -269, y2777
Sarah, x -359, y2828
Carlton, x -419, y2816
Brinkman, x -400, y2700
Hume, x -455, y2692
Breslau, x -496, y2688
Telmach, x -423, y2652
Libau, x -507, y2632
Gosset, x -483, y2660
Lua Hiler, x -451, y2596
Hillman, x -176, y2616
Typer’s Star, x -352, y2629
Zorester, x -396, y2573
Lutrell, x -251, y2568
Posnan, x -363, y2568
Arendscheldt, x -324, y2577
Sigma, x -299, y2564
Creswell, x -335, y2520
Hera, x -268, y2532
Saginaw, x -231, y2496
Psyche, x -316, y2484
Sachsen, x -467, y2544
Trellis, x -444, y2516
Sharon’s Star, x -359, y2549
Magyar, x -391, y2529
Schiller, x -415, y2540
Alizon, x 147, y2095
Yorik, x 119, y2186
Minorca, x -100, y2138
Reevesport, x -117, y2273
Reiko, x 155, y2268
Hannah’s Star, x 172, y2397
Gemini, x 191, y2450
Aphid, x 323, y2565
Nuada, x 269, y2422
Yalta, x 304, y2389
Santander, x 325, y2330
Suchien, x 255, y2310
Poicters, x 335, y2229
Minette, x 376, y1961
