Absolute coordinated in the galaxy based on Sol as coordinate origin,note: y-axis is mirrored by screen capture,
name,x,y
Sol,0,0
Manticore,172,-2019
Haven,1145,-2589
Gregor,-411,-2199
Basilisk,249,-2833
Lynx B (Terminus),-1153,-51
Monica,-2023,133
Mesa,-780,591
Silesia,-317,-2661
Hennesy,2473,-501
Terra Haute,2537,-467
Erewhon,1543,-1573
Joshua,476,377
Beowulf,17,-141
Trevor’s Star,913,-2331
Durandel,-600,-2147
Asgard,-1088,-1479
Rasmussen,-938,-1414
Midgard,-1663,-2430
Meyers,-2160,399
Taylor,-2061,184
Zale,-2254,69
Howard,-1791,249
Saltash,-1290,356
Lima,583,-501
Sankar,360,-630
Ajax,1316,-587
Dockhorn,1556,-591
Meroa,1363,-776
Johannsen,1196,-763
Limbo,952,-694
Sherkhan,836,-819
Alt,1016,-939
Theron,776,-994
Okada,532,-934
Basra,716,-1166
Degenhart,956,-1281
Tiberian,1055,-1410
Kay,1192,-1526
Congo,1432,-1633
Sprague,1427,-1410
Poul,1380,-1234
Edwin,1509,-1101
Maya,1552,-1333
Isaac,1770,-1470
Murray,1830,-1187
Robert,1715,-1123
Foshee,-981,-703
Portillo,-1431,-1346
Chomanand,-1971,-1221
Tyrel,-2340,-969
Osmani,-2425,-1204
Corovic,-2203,-1329
Manticore,172,-2019
Basilisk,249,-2832
Gregor,-407,-2201
Silesia,-314,-2663
Marsh,-531,-2541
Willis,-245,-2874
Hendrickson,-227,-2856
Jarmon,-244,-2845
Terrance,-167,-2789
Tumult,-269,-2777
Sarah,-359,-2828
Carlton,-419,-2816
Brinkman,-400,-2700
Hume,-455,-2692
Breslau,-496,-2688
Telmach,-423,-2652
Libau,-507,-2632
Gosset,-483,-2660
Lua Hiler,-451,-2596
Hillman,-176,-2616
Typer’s Star,-352,-2629
Zorester,-396,-2573
Lutrell,-251,-2568
Posnan,-363,-2568
Arendscheldt,-324,-2577
Sigma,-299,-2564
Creswell,-335,-2520
Hera,-268,-2532
Saginaw,-231,-2496
Psyche,-316,-2484
Sachsen,-467,-2544
Trellis,-444,-2516
Slocum,-416,-2493
Sharon’s Star,-359,-2549
Magyar,-391,-2529
Schiller,-415,-2540
Manticore,172,-2019
Basilisk,243,-2830
Gregor,-413,-2197
Alizon,147,-2095
Yorik,119,-2186
Minorca,-100,-2138
Reevesport,-117,-2273
Reiko,155,-2268
Hannah’s Star,172,-2397
Gemini,191,-2450
Aphid,323,-2565
Nuada,269,-2422
Yalta,304,-2389
Santander,325,-2330
Suchien,255,-2310
Poicters,335,-2229
Minette,376,-1961
Quentin,291,-1896
Talbot,410,-2217
Chelsea,367,-2154
Mendoza,308,-2180
Seaford 9,240,-2221
Hancock,215,-2193
Zanzibar,219,-2149
Klein Station,294,-2129
Talisman,212,-2087
Endicott,264,-2065
Clairmont,416,-2094
Quest,440,-2054
Casca,340,-2026
Candor,339,-1991
Yeltsin,263,-2025
Clearway,224,-1999
Zuckerman,260,-1965
Doreas,328,-1933
Grendelsbane,377,-1885
Haven,1145,-2591
Manticore,172,-2019
Basilisk,249,-2833
Cerberus,916,-2837
Hallman,1001,-2456
Tahlman,924,-2372
Samson,704,-2273
Solan,869,-2273
Macgregor,800,-2245
Owens,733,-2232
Mylar,736,-2201
Barnett,764,-2224
Seljuk,572,-2281
Madras,604,-2233
Sallah,512,-2180
Corrigan,603,-2156
Mathias,664,-2092
Adler,548,-2097
Micah,561,-2069
Tredway,568,-2017
Solway,572,-1889
Elric,564,-1960
Allman,712,-2040
Welladay,776,-2145
Casca,934,-2128
Slocum,836,-2193
Gualt,913,-2244
Trevor’s Star,909,-2332
Seabring,956,-2360
Michael,1013,-2408
Elf,1073,-2440
Tambourin,1095,-2537
Gaston,985,-2573
Joust,941,-2517
Tequilla,984,-2429
Secour,752,-2464
Maastricht,860,-2393
Thetis,829,-2329
Lowell,733,-2369
Sun-Yat,660,-2325
