, x 875, y -708
, x -189, y -685
, x 465, y -672
, x 233, y -672
, x -130, y -671
, x -496, y -653
, x 357, y -622
, x -124, y -623
, x -389, y -604
, x -311, y -597
, x 327, y -587
, x -933, y -575
, x -920, y -564
, x -1294, y -558
, x 604, y -558
, x 430, y -552
, x 948, y -537
, x -218, y -535
, x 350, y -521
, x -118, y -518
, x -126, y -501
, x -320, y -493
, x 1252, y -484
, x 293, y -478
, x -12, y -480
, x -1216, y -475
, x 1009, y -475
, x -274, y -475
, x -1005, y -468
, x 853, y -463
, x 1385, y -450
, x 474, y -445
, x -448, y -444
, x 1167, y -442
, x -621, y -436
, x -1150, y -436
, x 1146, y -433
, x -88, y -433
, x -956, y -430
, x 222, y -431
, x 1058, y -425
, x -74, y -411
, x -1490, y -404
, x 42, y -387
, x -969, y -381
, x -250, y -365
, x -1832, y -363
, x 897, y -360
, x 12, y -356
, x -105, y -355
, x -248, y -349
, x 433, y -350
, x 384, y -348
Saltash, x -1330, y -343
, x 1229, y -345
, x -1197, y -341
, x -1092, y -337
Meyers, x -2246, y -335
, x 279, y -321
, x 910, y -311
, x -1166, y -309
, x -32, y -307
, x 2249, y -305
, x 1621, y -305
, x -73, y -303
, x -1551, y -301
, x 10, y -293
, x 1012, y -291
, x -94, y -287
, x -1003, y -288
, x 415, y -274
, x -1019, y -271
, x 584, y -246
, x 2021, y -240
, x -617, y -211
, x -925, y -209
Howard, x -1848, y -208
, x -269, y -202
, x -1011, y -195
, x -1186, y -197
, x -1189, y -182
, x 2125, y -174
, x 329, y -166
Taylor, x -2135, y -167
, x -1007, y -164
, x 1157, y -150
, x -363, y -151
, x 1880, y -142
, x -1057, y -131
, x 1411, y -127
, x 772, y -124
Monica, x -2075, y -118
, x 347, y -108
, x 1796, y -106
, x -611, y -96
, x -1492, y -88
Sasebo, x -568, y -88
, x 1584, y -87
, x 561, y -84
, x -953, y -85
, x 1307, y -64
Zale, x -2337, y -63
, x -359, y -65
, x 1733, y -60
, x -1012, y -54
, x 803, y -50
, x 1854, y -42
, x 1524, y -39
, x 1606, y -35
, x -1357, y -22
, x 2367, y -19
, x -18, y -8
, x 1774, y -3
Sol, x 0, y 0
, x 1483, y 2
, x 566, y 4
, x 912, y 10
, x 1665, y 16
, x -147, y 17
, x 2079, y 21
, x 1942, y 28
, x 1354, y 29
, x 1609, y 40
, x 1762, y 39
, x 1562, y 43
, x 1883, y 46
, x 2427, y 47
, x 789, y 51
, x 129, y 54
, x 999, y 62
, x 1827, y 68
, x -540, y 83
, x 1382, y 87
Montana, x -1658, y 85
, x 1227, y 88
, x 1160, y 94
, x 1938, y 104
, x 751, y 107
, x -177, y 105
, x 1445, y 108
, x -759, y 106
, x -1092, y 109
, x 2012, y 115
, x 2324, y 122
, x 1331, y 126
, x -181, y 126
Tillerman, x -1945, y 137
, x 1003, y 140
, x 2585, y 156
, x 1534, y 171
, x 1862, y 169
Beowulf, x -41, y 172
, x 824, y 174
, x 668, y 177
, x 1031, y 179
, x 1456, y 190
Talbott, x -1847, y 192
, x 731, y 208
, x 1954, y 207
Lynx, x -1174, y 214
, x 1162, y 221
, x 1532, y 226
, x 1665, y 229
, x 2217, y 231
, x -538, y 230
, x -376, y 244
, x 574, y 244
, x 2172, y 244
, x 2304, y 249
, x 373, y 251
, x 1697, y 256
, x 172, y 257
, x 1163, y 260
Hannessy, x 2471, y 261
, x 292, y 261
, x -64, y 265
, x -752, y 273
, x 2379, y 274
, x 1935, y 275
, x 702, y 279
, x 824, y 280
, x 1211, y 280
, x 764, y 281
, x 2593, y 288
Dresden, x -1751, y 294
, x 1635, y 324
, x 2703, y 325
, x 91, y 326
, x 2202, y 328
, x 1729, y 331
, x 878, y 331
, x 2271, y 337
, x 1, y 337
, x -590, y 335
Marian, x -1944, y 337
Split, x -1213, y 337
Spindle, x -1450, y 340
, x -1038, y 352
, x -1126, y 353
, x 1835, y 353
, x 530, y 353
Terra Haute, x 2459, y 360
, x 1197, y 363
, x 854, y 365
, x 1956, y 372
, x 764, y 373
, x 1499, y 379
, x 1015, y 378
, x 228, y 380
, x 1306, y 383
, x 954, y 383
, x 1055, y 388
, x 372, y 388
Scarlet, x -2043, y 390
, x -114, y 392
, x 2380, y 394
, x -706, y 401
, x 9, y 408
, x -602, y 409
, x 1591, y 411
, x -231, y 419
, x 1358, y 429
, x 869, y 430
, x 2011, y 435
