Manticore, x 214, y 2037 | Basilisk, x 251, y 2863
Manticore, x 214, y 2037 | Trevor’s Star, x 911, y 2331
Manticore, x 214, y 2037 | Hannessy, x 2471, y 261
Manticore, x 214, y 2037 | Beowulf, x -12, y 156
Manticore, x 214, y 2037 | Lynx B (Terminus), x -1153, y 51
Manticore, x 214, y 2037 | Matapan, x -1604, y 1816
Manticore, x 214, y 2037 | Gregor, x -425, y 2218
Erewhon, x 1497, y 1566 | Terra Haute, x 2498, y 413
Erewhon, x 1497, y 1566 | Joshua, x 476, y -377
Erewhon, x 1497, y 1566 | Sasebo, x -568, y -88
Asgard, x -1088, y 1479 | Durandel, x -597, y 2182
Asgard, x -1088, y 1479 | Midgard, x -1458, y 2512
