Adler, x 548, y 2097
Alizon, x 147, y 2095
Allman, x 712, y 2040
Alt, x 1016, y 939
Aphid, x 323, y 2565
Asgard, x -1088, y 1479
Barnett, x 764, y 2224
Basra, x 716, y 1166
Candor, x 339, y 1991
Casca, x 340, y 2026
Casca, x 934, y 2128
Cerberus, x 916, y 2837
Chelsea, x 367, y 2154
Clairmont, x 416, y 2094
Clearway, x 224, y 1999
Congo, x 1432, y 1633
Corrigan, x 603, y 2156
Degenhart, x 956, y 1281
Dockhorn, x 1556, y 591
Doreas, x 328, y 1933
Edwin, x 1509, y 1101
Elf, x 1073, y 2440
Elric, x 564, y 1960
Endicott, x 264, y 2065
Gaston, x 985, y 2573
Gemini, x 191, y 2450
Grendelsbane, x 377, y 1885
Gualt, x 913, y 2244
Hallman, x 1001, y 2456
Hancock, x 215, y 2193
Hannah’s Star, x 172, y 2397
Hendrickson, x -227, y 2856
Hennesy, x 2473, y 501
Isaac, x 1770, y 1470
Johannsen, x 1196, y 763
Joshua, x 476, y -377
Joust, x 941, y 2517
Kay, x 1192, y 1526
Klein Station, x 294, y 2129
Limbo, x 952, y 694
Lowell, x 733, y 2369
Lua Hiler, x -451, y 2596
Lynx B (Terminus), x -1153, y 51
Maastricht, x 860, y 2393
Macgregor, x 800, y 2245
Madras, x 604, y 2233
Mathias, x 664, y 2092
Maya, x 1552, y 1333
Mendoza, x 308, y 2180
Meroa, x 1363, y 776
Mesa, x -780, y -591
Micah, x 561, y 2069
Michael, x 1013, y 2408
Minette, x 376, y 1961
Minorca, x -100, y 2138
Murray, x 1830, y 1187
Mylar, x 736, y 2201
Nuada, x 269, y 2422
Okada, x 532, y 934
Owens, x 733, y 2232
Poicters, x 335, y 2229
Poul, x 1380, y 1234
Quentin, x 291, y 1896
Quest, x 440, y 2054
Reevesport, x -117, y 2273
Reiko, x 155, y 2268
Robert, x 1715, y 1123
Sallah, x 512, y 2180
Samson, x 704, y 2273
Santander, x 325, y 2330
Seabring, x 956, y 2360
Seaford 9, x 240, y 2221
Secour, x 752, y 2464
Seljuk, x 572, y 2281
Sharon’s Star, x -359, y 2549
Sherkhan, x 836, y 819
Slocum, x -416, y 2493
Slocum, x 836, y 2193
Solan, x 869, y 2273
Solway, x 572, y 1889
Sprague, x 1427, y 1410
Suchien, x 255, y 2310
Sun-Yat, x 660, y 2325
Tahlman, x 924, y 2372
Talbot, x 410, y 2217
Talisman, x 212, y 2087
Tambourin, x 1095, y 2537
Tequilla, x 984, y 2429
Theron, x 776, y 994
Thetis, x 829, y 2329
Tiberian, x 1055, y 1410
Tredway, x 568, y 2017
Trevor’s Star, x 911, y 2331
Typer’s Star, x -352, y 2629
Welladay, x 776, y 2145
Yalta, x 304, y 2389
Yeltsin, x 263, y 2025
Yorik, x 119, y 2186
Zanzibar, x 219, y 2149
Zuckerman, x 260, y 1965
Asgerd, x -1547, y 1304
Babiiha, x -770, y 898
Celebrant, x -1520, y 695
Dresden, x -1751, y 294
Hannessy, x 2471, y 261
Hendrikson, x 12, y 2912
Lovat, x 1076, y 2559
Lua Hiller, x -160, y 2666
Lynx, x -1174, y 214
Mainwaring, x -1314, y 445
Marian, x -1944, y 337
Matapan, x -1604, y 1816
Montana, x -1658, y 85
New Berlin, x -559, y 2393
New Tuscany, x -1895, y 534
Nuncio, x -1273, y 534
Pequod, x -1848, y 683
Prairie, x -1603, y 538
Redoubt, x -1753, y 442
Rembrandt, x -1504, y 491
San Miguel, x -1603, y 438
Sasebo, x -568, y -88
Scarlet, x -2043, y 390
Selkirk, x -2135, y 833
Sharon's Star, x -91, y 2631
Slocum, x -144, y 2576
Spindle, x -1450, y 340
Split, x -1213, y 337
Talbott, x -1847, y 192
Talmu, x -1360, y 1192
Tillerman, x -1945, y 137
Tyler's Star, x -88, y 2689
Ajax, x 852, y 700
Arendscheldt, x -193, y 2617
Basilisk, x 251, y 2863
Beowulf, x -12, y 156
Breslau, x -356, y 2718
Brinkman, x -256, y 2727
Carlton, x -284, y 2847
Chomanand, x -1935, y 1102
Corovic, x -2242, y 1204
Creswell, x -203, y 2559
Durandel, x -597, y 2182
Erewhon, x 1497, y 1566
Foshee, x -973, y 625
Gosset, x -342, y 2694
Gregor, x -425, y 2218
Haven, x 1168, y 2621
Hera, x -138, y 2571
Hillman, x -48, y 2649
Howard, x -1819, y -228
Hume, x -314, y 2723
Jarmon, x -116, y 2878
Libau, x -366, y 2665
Lima, x 424, y 640
Lutrell, x -112, y 2609
Magyar, x -257, y 2570
Manticore, x 214, y 2037
Marsh, x -389, y 2582
Meyers, x -2203, y -367
Midgard, x -1458, y 2512
Monica, x -2049, y -125
Osmani, x -2473, y 1095
Portillo, x -1444, y 1219
Posnan, x -227, y 2609
Psyche, x -180, y 2518
Rasmussen, x -931, y 1276
Sachsen, x -326, y 2587
Saginaw, x -104, y 2539
Saltash, x -1310, y -349
Sankar, x 213, y 795
Sarah, x -226, y 2857
Schiller, x -279, y 2580
Sigma, x -168, y 2601
Silesia, x -184, y 2693
Sol, x 0, y 0
Taylor, x -2098, y -175
Telmach, x -284, y 2682
Terra Haute, x 2498, y 413
Terrance, x -40, y 2818
Trellis, x -304, y 2559
Tumult, x -139, y 2809
Tyrel, x -2382, y 878
Willis, x -116, y 2893
Zale, x -2295, y -66
Zorester, x -272, y 2609
1XRS 15534+119, x 391, y 1940
1XRS 155844+779, x -267, y 886
1XRS 1615+499, x 327, y 489
1XRS 18646+677, x -1070, y 1731
1XRS 1953+415, x 851, y 2591
1XRS 2394+579, x 912, y 10
1XRS 24211+265, x 1135, y 2727
1XRS 2778+185, x 999, y 500
1XRS 27836+269, x -105, y -355
1XRS 315456+262, x -357, y 627
1XRS 3435+785, x 764, y 281
